x,Sync,Async,Rod,Pos
15.524992739489404,(0.00018029828338011884+2.7015926682237315e-05j),(0.0006937784173073372+3.9891899673132984e-05j),(0.00019096567328221202+3.4252341691911205e-05j),(-1.0667389902093188e-05-7.236415009673908e-06j)
15.524269151823537,(-0.00011924914305494321+0.00017260655160818928j),(-0.0001330278129555058+3.869714115551867e-05j),(-0.00010957283200099864+0.00018112288379422002j),(-9.676311053944563e-06-8.51633218603078e-06j)
15.526357676026588,(0.0009066771325773132-1.74324815193863e-05j),(0.002014804712625422+2.691439813123259e-05j),(0.0009152097635774406-7.77053980298258e-06j),(-8.53263100012719e-06-9.661941716403694e-06j)
15.525247623519355,(0.0003693462912579003-0.0013317153853249475j),(0.0008460839630344669+7.2949869995176e-05j),(0.0003766006775161914-0.0013210602086708028j),(-7.254386258291124e-06-1.065517665414471e-05j)
15.523730216928133,(-0.0003699950337275405-0.000451900702866743j),(-0.0006497114406287056+6.0823283504635156e-05j),(-0.000364133298215939-0.0004404203297757871j),(-5.861735511601509e-06-1.1480373090955857e-05j)
15.526147560197021,(0.0008856582827691618-0.0007756058104091566j),(0.00167967666521266+0.00010219826558797769j),(0.0008900349244634248-0.0007634812932230765j),(-4.376641694262879e-06-1.2124517186080169e-05j)
15.523812003120472,(-0.0002616958943495936-0.0014983182732319173j),(-0.0006353309739907358+9.074011098141921e-06j),(-0.00025887336872666683-0.0014857408228295729j),(-2.8225256229266973e-06-1.2577450402344498e-05j)
15.524906180503162,(0.00026667257160283795-0.0006518568578791176j),(0.0004365925233891456+8.040186797492093e-05j),(0.00026789646823925986-0.0006390248281667586j),(-1.223896636421886e-06-1.2832029712359179e-05j)
15.524039618651976,(-9.545898020170707e-05-0.0020903606666931567j),(-0.00046014428399060594-3.1632666577727156e-05j),(-9.585301413286678e-05-0.0020774764264448295j),(3.9403393115971103e-07-1.2884240248326959e-05j)
15.522119949434279,(-0.001151864456567126-0.0007031113541239251j),(-0.002324217353357914+1.3061161367234561e-05j),(-0.0011538702069153885-0.0006903780955050186j),(2.0057503482624585e-06-1.2733258618906574e-05j)
15.524182966519362,(-3.670585772368114e-05-0.0010245392232121051j),(-0.00030387530910660853-5.826696544994916e-05j),(-4.029169260787704e-05-0.0010121577573175189j),(3.585834884195928e-06-1.2381465894586032e-05j)
15.52278665942031,(-0.0008768409673198022-0.0011014244415854058j),(-0.0015991761545376927-2.831091235621282e-05j),(-0.000881950335981734-0.0010895900315286272j),(5.109368661931696e-06-1.183441005677866e-05j)
15.523335026595436,(-0.0004987955312792993-0.0013903346443144536j),(-0.0011136952357683686-2.2965260956542106e-05j),(-0.0005053478559229792-0.0013792339258116115j),(6.552324643679908e-06-1.1100718502841986e-05j)
15.520910119737886,(-0.0018292132068337347-0.0016144948183567853j),(-0.0034616137190222247-3.773621794488003e-05j),(-0.001837105153385363-0.0016043028563699174j),(7.891946551628275e-06-1.0191961986867697e-05j)
15.519305104104998,(-0.0025627447233078147-0.0003130671661497739j),(-0.005094629504344207+6.733968004640434e-06j),(-0.0025718518310558517-0.0003039446940077964j),(9.107107748037105e-06-9.122472141977526e-06j)
15.521621332616727,(-0.0014832936923503493+0.0010909834547351979j),(-0.0027407141849937816+1.1907866437126181e-05j),(-0.0014934723367652863+0.0010988925701971054j),(1.0178644414936931e-05-7.909115461907659e-06j)
15.522927203513486,(-0.0007316558307678856+0.0001661120912811877j),(-0.0014925690197050698+6.689660118716857e-05j),(-0.0007427454885468714+0.00017268311858751473j),(1.1089657778985751e-05-6.571027306326944e-06j)
15.52290363056001,(-0.0007745796113724353+0.001289120291768051j),(-0.0015259816101817327+2.5437949476102623e-05j),(-0.0007864053919876547+0.001294249601892835j),(1.182578061521952e-05-5.1293101247840095e-06j)
15.526185246058995,(0.0009290973980542756+8.023335143379931e-05j),(0.001733741823561792+3.1629643546866525e-05j),(0.0009167219942275031+8.384005209227117e-05j),(1.2375403826772363e-05-3.6067006584718822e-06j)
15.523083100067524,(-0.0006996350397970208-8.632776100131259e-05j),(-0.0013317221689997233-7.785155873932962e-06j),(-0.0007123648993242899-8.430054963307545e-05j),(1.2729859527269091e-05-2.0272113682371175e-06j)
15.525789823504738,(0.0007002678074643404+0.0003761008904781903j),(0.00136943782597475+6.293455823178415e-05j),(0.0006873842497257689+0.00037651664222191825j),(1.2883557738571314e-05-4.157517437278805e-07j)
15.52440956869702,(1.2526045573152013e-05-0.000649578678184155j),(-5.418054803212358e-05+2.6283443367072215e-05j),(-3.080289749199383e-07-0.0006507809427182931j),(1.2834074548071923e-05+1.202264534137998e-06j)
15.525511995533414,(0.0005909433076507174+0.00018473943149869716j),(0.0010620206013916848+3.592823244750181e-05j),(0.0005783611173154726+0.0001819381111165948j),(1.258219033524492e-05+2.8013203821025005e-06j)
15.525842858779715,(0.0007435206881590908-0.0012611622438619314j),(0.0013647597061400183+2.6709681764645418e-05j),(0.0007313888106944958-0.001265518441596145j),(1.2131877464594926e-05+4.3561977342135645e-06j)
