t,deg,mixed_signal
0.34650000000000003,124.74,-4.021225999749508
0.34700000000000003,124.92,-4.0293757551475835
0.34750000000000003,125.1,-3.9743556313272936
0.34800000000000003,125.28,-3.934807997379108
0.34850000000000003,125.46,-3.803445303338324
0.34900000000000003,125.64,-3.7111728102428088
0.34950000000000003,125.82,-3.6280947638722836
0.35000000000000003,126.0,-3.6039281370786234
0.35050000000000003,126.17999999999999,-3.6416826042822112
0.35100000000000003,126.36,-3.7002853037221257
0.35150000000000003,126.53999999999999,-3.8083144923362866
0.352,126.72,-3.9118302275736956
0.3525,126.89999999999999,-3.9789617751461934
0.353,127.08,-4.022882194008254
0.3535,127.25999999999999,-4.038836499752379
0.354,127.44,-4.005286479049125
0.3545,127.61999999999999,-3.9683439809343435
0.355,127.8,-3.982264765446366
0.3555,127.97999999999999,-3.9679659483703253
0.356,128.16,-3.9770996160106344
0.3565,128.34,-3.9716916173265284
0.357,128.51999999999998,-3.9257858030329214
0.3575,128.7,-3.812242008547981
0.358,128.88,-3.6630287532412233
0.3585,129.06,-3.513422864631775
0.359,129.24,-3.2847192391647697
0.3595,129.42,-3.115813795961376
0.36,129.6,-2.976917336674402
0.3605,129.78,-2.868283224775395
0.361,129.96,-2.8091610244765253
0.3615,130.14,-2.7980827009257765
0.362,130.32,-2.781829290260017
0.3625,130.5,-2.7313550930881845
0.363,130.68,-2.6608939775348146
0.3635,130.85999999999999,-2.565870353392193
0.364,131.04,-2.4593651927185283
0.3645,131.22,-2.3507565055077273
0.365,131.4,-2.2785843544216995
0.3655,131.57999999999998,-2.24607431170668
0.366,131.76,-2.2382350965911764
0.3665,131.94,-2.219401311423525
0.367,132.12,-2.1787126857804577
0.3675,132.29999999999998,-2.0614785359923684
0.368,132.48,-1.9359243741487457
0.3685,132.66,-1.7474350847633129
0.369,132.84,-1.560834381547005
0.3695,133.01999999999998,-1.3645937379035968
0.37,133.2,-1.1972483530754061
0.3705,133.38,-1.0644828286462822
0.371,133.56,-0.9696310272120119
0.3715,133.74,-0.8659976494327849
0.372,133.92,-0.7847980862074759
0.3725,134.1,-0.6618173068274098
0.373,134.28,-0.5098948060819446
0.3735,134.46,-0.32403150762395394
0.374,134.64,-0.106373751742417
0.3745,134.82,0.06127392549840098
0.375,135.0,0.19860205676945591
0.3755,135.18,0.31672779455548605
0.376,135.35999999999999,0.3801457282870493
0.3765,135.54,0.4246713141698306
0.377,135.72,0.5040085252093552
0.3775,135.9,0.5844562970342462
0.378,136.07999999999998,0.7098364944116294
0.3785,136.26,0.876492167056747
0.379,136.44,1.0163533162329945
0.3795,136.62,1.1479820478325213
0.38,136.79999999999998,1.2743164571321919
0.3805,136.98,1.346205157045119
0.381,137.16,1.3613667303101578
0.3815,137.34,1.4219628055225886
0.382,137.51999999999998,1.4649208510005112
0.3825,137.7,1.5548410539991233
0.383,137.88,1.6797524203859857
0.3835,138.06,1.8597236982548164
0.384,138.24,2.067929964809143
0.3845,138.42,2.2348035206968535
0.385,138.6,2.4025455178831048
0.3855,138.78,2.548822271028484
0.386,138.96,2.632228441644232
0.3865,139.14,2.724592696684886
0.387,139.32,2.8089992200784186
0.3875,139.5,2.9414296852620243
0.388,139.68,3.045433524198595
0.3885,139.85999999999999,3.2187590662044685
0.389,140.04,3.3369679309483637
0.3895,140.22,3.4392961303500886
0.39,140.4,3.487826252555485
0.3905,140.57999999999998,3.4884161584023605
0.391,140.76,3.4660067827848313
0.3915,140.94,3.378926334711166
0.392,141.12,3.3550105873206952
0.3925,141.29999999999998,3.2993760916178916
0.393,141.48,3.307515029614512
0.3935,141.66,3.3770325363549216
0.394,141.84,3.4681516644725128
0.3945,142.01999999999998,3.5627752119845892
0.395,142.2,3.640248380528549
0.3955,142.38,3.6928144391390605
0.396,142.56,3.750804877737924
0.3965,142.73999999999998,3.7797315560609417
0.397,142.92,3.8467794751057673
0.3975,143.1,3.910332889915448
0.398,143.28,4.021759619635184
0.3985,143.46,4.158478297379346
0.399,143.64,4.312294421687607
0.3995,143.82,4.354308877634841
0.4,144.0,4.414451232678073
0.4005,144.18,4.373729730735591
0.401,144.35999999999999,4.2743705001563885
0.4015,144.54,4.158201621552907
0.402,144.72,4.050390940271855
0.4025,144.9,3.9054218145951096
0.403,145.07999999999998,3.829626964546126
0.4035,145.26,3.786131169675645
0.404,145.44,3.7237343173648365
0.4045,145.62,3.7060297134355698
0.405,145.79999999999998,3.6418229815100363
0.4055,145.98,3.563715166972548
0.406,146.16,3.472987398999524
0.40650000000000003,146.34,3.375771873408118
0.40700000000000003,146.51999999999998,3.3168525290182167
0.40750000000000003,146.7,3.2980722179663116
0.40800000000000003,146.88,3.3111337534514247
0.40850000000000003,147.06,3.4036006008781534
0.40900000000000003,147.23999999999998,3.441337101979472
0.40950000000000003,147.42,3.4959395211029882
0.41000000000000003,147.6,3.510415838442419
0.41050000000000003,147.78,3.448260106449073
0.41100000000000003,147.96,3.328648194120686
0.41150000000000003,148.14,3.1813194577341344
0.41200000000000003,148.32,3.056563032829399
0.41250000000000003,148.5,2.92110056805338
0.41300000000000003,148.68,2.825712403253203
0.41350000000000003,148.85999999999999,2.7276457542235173
0.41400000000000003,149.04,2.6425219525185386
0.41450000000000004,149.22,2.5471423258338475
0.41500000000000004,149.4,2.4206226603665346
0.41550000000000004,149.57999999999998,2.237122110332093
0.41600000000000004,149.76,2.0562237897595455
0.4165,149.94,1.8548254452150714
0.417,150.12,1.6812680153188875
0.4175,150.29999999999998,1.554188612602118
0.418,150.48,1.4508939057428727
0.4185,150.66,1.4370653830695315
0.419,150.84,1.389680313532881
0.4195,151.01999999999998,1.3465467852768467
0.42,151.2,1.283241788414941
0.4205,151.38,1.1693574635974924
0.421,151.56,1.022328252275865
0.4215,151.73999999999998,0.8567309595905792
0.422,151.92,0.7269066947955903
0.4225,152.1,0.581695129146489
0.423,152.28,0.49280372513679443
0.4235,152.46,0.44296808492406153
0.424,152.64,0.36861094610195383
0.4245,152.82,0.31470945148764895
0.425,153.0,0.21503203296246967
0.4255,153.18,0.057395022167424085
0.426,153.35999999999999,-0.13817812939798324
0.4265,153.54,-0.31132135735204935
0.427,153.72,-0.5259800266917333
0.4275,153.9,-0.6823938795379317
0.428,154.07999999999998,-0.8011773764896286
0.4285,154.26,-0.8849406947514278
0.429,154.44,-0.9536888869131501
0.4295,154.62,-1.0735462320587468
0.43,154.79999999999998,-1.191346642074308
0.4305,154.98,-1.3787448008248324
0.431,155.16,-1.5563844921137229
0.4315,155.34,-1.7699383180071033
0.432,155.51999999999998,-1.937578631134454
0.4325,155.7,-2.070441283450573
0.433,155.88,-2.1694318778503585
0.4335,156.06,-2.197566602898873
0.434,156.23999999999998,-2.2413725343670277
0.4345,156.42,-2.2502754019134152
0.435,156.6,-2.2999571515508537
0.4355,156.78,-2.3666265230221337
0.436,156.96,-2.4571414611317235
0.4365,157.14,-2.5683621782401884
0.437,157.32,-2.6321618022869098
0.4375,157.5,-2.7265452194815794
0.438,157.68,-2.7622010832429726
0.4385,157.85999999999999,-2.7901241225547118
0.439,158.04,-2.8268567128621287
0.4395,158.22,-2.8698632616256705
0.44,158.4,-2.9675736251822515
0.4405,158.57999999999998,-3.1096390598506796
0.441,158.76,-3.307099292446802
0.4415,158.94,-3.503029484952255
0.442,159.12,-3.684169113446254
0.4425,159.29999999999998,-3.8224968998252558
0.443,159.48,-3.9142378843218273
0.4435,159.66,-3.9576406775451978
0.444,159.84,-3.964338643251524
0.4445,160.01999999999998,-3.95549912072198
0.445,160.2,-3.9740041202255703
0.4455,160.38,-3.9834176100181424
0.446,160.56,-3.9998218793825546
0.4465,160.73999999999998,-4.017861509844905
0.447,160.92,-4.023427408044282
0.4475,161.1,-3.9925251790093
0.448,161.28,-3.8896673481104993
0.4485,161.46,-3.8115185608238886
0.449,161.64,-3.721377647777237
0.4495,161.82,-3.631748444958705
0.45,162.0,-3.611596228986096
0.4505,162.18,-3.6303254495908583
0.451,162.35999999999999,-3.717376656858197
