t,sync_wavelet_extra,async_wavelet_extra
2.39,-0.0007359707454648689,-0.0012815131779707815
2.3905,-0.00045460332963795586,-0.000830605193499974
2.391,-0.00014837752371795268,-0.0003368423968428214
2.3915,0.00011168336396549572,8.889704365305513e-05
2.392,0.0002609059236178363,0.0003451596789690243
2.3925,0.00026741556248464796,0.0003827355305140318
2.393,0.00014589511358248313,0.00022610934666166118
2.3935,-5.160857883987962e-05,-4.214898389547215e-05
2.394,-0.0002622176066210116,-0.0003246710262250216
2.3945,-0.0004387728671587225,-0.0005524205487918549
2.395,-0.0005611748041090697,-0.0007027463650092301
2.3955,-0.000630195485042267,-0.0007875897680507267
2.396,-0.0006533453664144234,-0.0008267975587985479
2.3965,-0.0006344410853675723,-0.0008267075565103435
2.397,-0.0005721316150578853,-0.0007754825031726178
2.3975,-0.000465516053801744,-0.0006545503658369233
2.398,-0.0003222187206156391,-0.00045808640405586826
2.3985,-0.00016469324217527407,-0.00021013294633846904
2.399,-3.0869414701824515e-05,3.0828380899922237e-05
2.3995,3.431450033733027e-05,0.00018660226767644133
2.4,-3.6219873693627415e-06,0.00019094134940276735
2.4005,-0.00014940647960089024,2.3492537104833995e-05
2.401,-0.0003691928559418873,-0.00027477791950011746
2.4015,-0.0006011643297663212,-0.0006173786150013971
2.402,-0.0007826029778708769,-0.0009125653480102022
2.4025,-0.0008783969998763703,-0.0011045517734206522
2.403,-0.000893789057561983,-0.001191454230361443
2.4035,-0.0008643664480354326,-0.0012119983186454006
2.404,-0.0008311561283453775,-0.0012133389496159414
2.4045,-0.0008171199141884051,-0.001221841399084996
2.405,-0.0008181445599535645,-0.0012325488317045485
2.4055,-0.0008107096874687308,-0.0012185701488942398
2.406,-0.0007683337814410006,-0.0011500260016709205
2.4065,-0.0006758058174125037,-0.0010098425853980355
2.407,-0.0005343134561992351,-0.0007992868647413372
2.4075,-0.00035759200577935594,-0.0005340691296610403
2.408,-0.00016422973786374808,-0.00023685972846903788
2.4085,2.8257098394508372e-05,6.805502574510399e-05
2.4090000000000003,0.00020523144592868498,0.0003562631865323755
2.4095,0.000354128756797171,0.0006032856211675695
2.41,0.0004639143787804183,0.0007863471158956164
2.4105,0.0005261092317553467,0.0008882202414235082
2.411,0.0005364632140706377,0.0009007263613656578
2.4115,0.000495909690347492,0.000825894289768053
2.412,0.0004107180423963632,0.0006754980976507077
2.4125,0.0002926531258846851,0.00047091307787901644
2.4130000000000003,0.00015912817297875247,0.00024310471483620483
2.4135,3.2055846918732035e-05,2.9904901129244266e-05
2.414,-6.549824906097387e-05,-0.00013132281677771302
2.4145,-0.00011378367365280921,-0.00021314251108193436
2.415,-9.990800889237363e-05,-0.00020433717754043696
2.4155,-1.9986083958527093e-05,-0.00011028273490549538
2.416,0.00011850722381783847,5.007164355823516e-05
2.4165,0.0002934411724622852,0.00024634134453021715
2.4170000000000003,0.0004668565912390132,0.0004377031563247295
2.4175,0.0005912095088781445,0.0005772991640907168
2.418,0.0006246105814677017,0.0006235061096578473
2.4185,0.0005486041580776577,0.0005543944787603634
2.419,0.00037703131952036227,0.0003759592708345253
2.4195,0.00014850830819793058,0.00011730130991437678
2.42,-9.400384838449335e-05,-0.00018462322488224414
2.4205,-0.0003238057979204652,-0.0005003201607211547
2.4210000000000003,-0.0005382691633586733,-0.000813400793822323
2.4215,-0.0007493797249625364,-0.001114353800333325
